Model,Test Accuracy,Precision (macro),Recall (macro),F1 Score (macro),CV Mean Accuracy,CV Std,Train Time (s)
Support Vector Machine,0.9666666666666667,0.9696969696969697,0.9666666666666667,0.9665831244778612,0.9659420289855072,0.04172805811271877,0.0065
Gradient Boosting,0.9666666666666667,0.9696969696969697,0.9666666666666667,0.9665831244778612,0.9659420289855072,0.017048246892780554,0.3492
Random Forest,0.9666666666666667,0.9696969696969697,0.9666666666666667,0.9665831244778612,0.9572463768115942,0.027512384792129915,0.2838
K-Nearest Neighbors,0.9333333333333333,0.9444444444444445,0.9333333333333332,0.9326599326599326,0.9398550724637682,0.05183059345579035,0.005
Logistic Regression,0.9333333333333333,0.9333333333333332,0.9333333333333332,0.9333333333333332,0.9572463768115942,0.038096925878536005,0.0124
Decision Tree,0.9333333333333333,0.9333333333333332,0.9333333333333332,0.9333333333333332,0.9402173913043479,0.044077989349987114,0.0047
Naive Bayes,0.9333333333333333,0.9333333333333332,0.9333333333333332,0.9333333333333332,0.9572463768115942,0.038096925878536005,0.0035
