Model,MAE,RMSE,R2 Score,CV Mean R2,CV Std,Train Time (s)
Random Forest,3.4207311768682054,5.0603272591649935,0.7032823296721182,0.6739316710203912,0.04868112809163928,0.2619
Decision Tree,3.6051254348990214,5.400069655454655,0.6621025411875298,0.5693656977894477,0.07740009673787053,0.0038
Gradient Boosting,3.908642021839079,5.82409382424844,0.6069544103794566,0.5812305791464312,0.057662197352860774,0.1109
Ridge Regression,4.623341047285492,6.771501873360836,0.4686799462624336,0.4351128088678339,0.06255049722688112,0.0033
Linear Regression,4.623945052784471,6.7718891289653715,0.46861917317074075,0.4350907570434412,0.06254474154263194,0.0042
